coin,action,price,balance,profit
bitcoin,buy,109864.5390625,8.7,0
bitcoin,buy,109709.2734375,7.83,0
bitcoin,sell,109439.1640625,7.83,-0.0
bitcoin,sell,109120.078125,7.82,-0.0
bitcoin,sell,109120.078125,7.82,-0.0
dogecoin,buy,0.1860552877187729,7.04,0
dogecoin,buy,0.18557696044445038,6.33,0
dogecoin,buy,0.18665046989917755,5.7,0
dogecoin,sell,0.18401268124580383,5.69,-0.01
dogecoin,sell,0.18401268124580383,5.68,-0.01
dogecoin,sell,0.18401268124580383,5.68,-0.01
dogecoin,buy,0.18401268124580383,5.11,0
dogecoin,buy,0.18416133522987366,4.6,0
dogecoin,buy,0.18371081352233887,4.14,0
dogecoin,sell,0.18238262832164764,4.13,-0.01
dogecoin,sell,0.18238262832164764,4.13,-0.0
dogecoin,sell,0.18238262832164764,4.12,-0.0
dogecoin,buy,0.18592610955238342,3.71,0
dogecoin,sell,0.1872730404138565,3.71,0.0
dogecoin,buy,0.1872730404138565,3.34,0
dogecoin,buy,0.18709224462509155,3.01,0
dogecoin,sell,0.18657970428466797,3.01,-0.0
dogecoin,buy,0.18657970428466797,2.71,0
dogecoin,buy,0.18706025183200836,2.44,0
dogecoin,sell,0.1935306340456009,2.45,0.01
dogecoin,sell,0.1935306340456009,2.46,0.01
dogecoin,sell,0.1935306340456009,2.47,0.01
dogecoin,buy,0.1935306340456009,2.22,0
dogecoin,buy,0.19463589787483215,2.0,0
dogecoin,sell,0.1949455291032791,2.0,0.0
dogecoin,buy,0.1949455291032791,1.8,0
dogecoin,buy,0.19513635337352753,1.62,0
dogecoin,buy,0.19519537687301636,1.46,0
dogecoin,sell,0.19442026317119598,1.46,-0.0
dogecoin,sell,0.19442026317119598,1.46,-0.0
dogecoin,buy,0.19442026317119598,1.31,0
dogecoin,sell,0.1937694549560547,1.31,-0.0
dogecoin,sell,0.1937694549560547,1.31,-0.0
dogecoin,sell,0.1937694549560547,1.31,-0.0
dogecoin,buy,0.1937694549560547,1.18,0
dogecoin,sell,0.1930730640888214,1.18,-0.0
dogecoin,buy,0.1930730640888214,1.06,0
dogecoin,sell,0.1910417079925537,1.06,-0.0
dogecoin,buy,0.1910417079925537,0.95,0
dogecoin,buy,0.19134604930877686,0.86,0
dogecoin,buy,0.1910170316696167,0.77,0
dogecoin,sell,0.19010859727859497,0.77,-0.0
dogecoin,sell,0.19010859727859497,0.77,-0.0
dogecoin,sell,0.19010859727859497,0.77,-0.0
dogecoin,buy,0.19010859727859497,0.69,0
dogecoin,sell,0.19200389087200165,0.69,0.0
dogecoin,buy,0.19200389087200165,0.62,0
dogecoin,sell,0.19094504415988922,0.62,-0.0
dogecoin,buy,0.19094504415988922,0.56,0
dogecoin,sell,0.1945989727973938,0.56,0.0
dogecoin,buy,0.1945989727973938,0.51,0
dogecoin,sell,0.19693079590797424,0.51,0.0
dogecoin,buy,0.19693079590797424,0.46,0
dogecoin,sell,0.19299370050430298,0.46,-0.0
dogecoin,buy,0.19386479258537292,0.41,0
dogecoin,buy,0.1940528303384781,0.37,0
dogecoin,sell,0.19522275030612946,0.37,0.0
dogecoin,sell,0.19522275030612946,0.37,0.0
dogecoin,buy,0.19522275030612946,0.33,0
dogecoin,sell,0.19441914558410645,0.33,-0.0
dogecoin,buy,0.19441914558410645,0.3,0
dogecoin,sell,0.19622592628002167,0.3,0.0
dogecoin,buy,0.19622592628002167,0.27,0
dogecoin,sell,0.1979164183139801,0.27,0.0
dogecoin,buy,0.1979164183139801,0.24,0
dogecoin,sell,0.19650964438915253,0.24,-0.0
dogecoin,buy,0.19650964438915253,0.22,0
dogecoin,sell,0.19490031898021698,0.22,-0.0
dogecoin,buy,0.19490031898021698,0.2,0
dogecoin,sell,0.1977202445268631,0.2,0.0
dogecoin,buy,0.1977202445268631,0.18,0
dogecoin,buy,0.1983075886964798,0.16,0
dogecoin,sell,0.19753387570381165,0.16,-0.0
dogecoin,buy,0.19753387570381165,0.14,0
dogecoin,buy,0.1984594166278839,0.13,0
dogecoin,sell,0.20230281352996826,0.13,0.0
dogecoin,sell,0.20230281352996826,0.13,0.0
dogecoin,sell,0.20230281352996826,0.13,0.0
dogecoin,buy,0.20230281352996826,0.12,0
dogecoin,buy,0.20239825546741486,0.11,0
dogecoin,sell,0.19924168288707733,0.11,-0.0
dogecoin,sell,0.19924168288707733,0.11,-0.0
dogecoin,buy,0.19924168288707733,0.09,0
dogecoin,sell,0.20060157775878906,0.09,0.0
dogecoin,buy,0.20060157775878906,0.09,0
dogecoin,sell,0.19912631809711456,0.09,-0.0
dogecoin,buy,0.19912631809711456,0.08,0
dogecoin,sell,0.20113679766654968,0.08,0.0
dogecoin,buy,0.20113679766654968,0.07,0
